	1	2	3	4	5	6	7	8	9	10	11
1	A	C	L	L	L	L	L	L	L	L	L	
2	G	B	A	L	L	L	L	L	L	L	L	
3	G	C	G	G	L	L	L	L	L	L	L	
4	G	B	A	B	C	L	L	L	L	L	L	
5	G	C	G	L	C	A	L	L	L	L	L	
6	G	B	A	L	A	A	G	L	L	L	L	
7	G	C	G	L	A	B	B	C	L	L	L	
8	G	B	A	L	L	B	C	C	A	L	L	
9	G	C	G	G	L	L	C	A	A	G	L	
10	G	B	A	B	C	L	A	A	B	B	A	
11	G	C	G	L	C	L	A	B	B	A	C	
12	G	B	A	L	C	L	L	B	A	C	B	
13	G	C	G	L	C	A	L	G	C	B	L	
14	G	B	A	L	A	A	C	G	B	L	L	
15	G	C	G	L	A	C	B	G	C	L	L	
16	G	B	A	L	G	B	L	G	B	A	L	
17	G	C	G	C	G	C	L	G	C	G	C	
18	G	B	G	B	G	B	G	G	B	G	B	
19	G	G	G	G	G	G	G	G	G	G	G	
20	F	F	F	F	F	F	F	F	F	F	F	
