	1	2	3	4	5	6	7	8	9	10	11	12
1	A	C	L	L	L	L	L	L	L	L	L	L	
2	G	B	A	L	L	L	L	L	L	L	L	L	
3	G	C	G	G	L	L	L	L	L	L	L	L	
4	G	B	A	B	C	L	L	L	L	L	L	L	
5	G	C	G	L	C	A	L	L	L	L	L	L	
6	G	B	A	L	A	A	G	L	L	L	L	L	
7	G	C	G	L	A	B	B	C	L	L	L	L	
8	G	B	A	L	L	B	C	C	A	L	L	L	
9	G	C	G	G	L	L	C	A	A	G	L	L	
10	G	B	A	B	C	L	A	A	B	B	C	L	
11	G	C	G	L	C	L	A	B	B	C	C	G	
12	G	B	A	L	C	L	L	B	C	C	B	A	
13	G	C	G	L	C	A	L	L	C	B	A	C	
14	G	B	A	L	A	A	G	L	G	A	C	B	
15	G	C	G	L	A	B	B	A	G	C	B	L	
16	G	B	A	L	L	B	A	C	G	B	L	L	
17	G	C	G	G	L	G	C	B	G	C	L	L	
18	G	B	A	B	A	G	B	L	G	B	A	L	
19	G	C	G	B	C	G	C	L	G	C	G	C	
20	G	B	G	B	G	G	B	G	G	B	G	B	
21	G	G	G	G	G	G	G	G	G	G	G	G	
22	F	F	F	F	F	F	F	F	F	F	F	F	
