	1	2	3	4	5	6	7	8	9	10	11	12	13	14
1	A	C	L	L	L	L	L	L	L	L	L	L	L	L	
2	G	B	A	L	L	L	L	L	L	L	L	L	L	L	
3	G	C	G	G	L	L	L	L	L	L	L	L	L	L	
4	G	B	A	B	C	L	L	L	L	L	L	L	L	L	
5	G	C	G	L	C	A	L	L	L	L	L	L	L	L	
6	G	B	A	L	A	A	G	L	L	L	L	L	L	L	
7	G	C	G	L	A	B	B	C	L	L	L	L	L	L	
8	G	B	A	L	L	B	C	C	A	L	L	L	L	L	
9	G	C	G	G	L	L	C	A	A	G	L	L	L	L	
10	G	B	A	B	C	L	A	A	B	B	C	L	L	L	
11	G	C	G	L	C	L	A	B	B	C	C	A	L	L	
12	G	B	A	L	C	L	L	B	C	C	A	A	G	L	
13	G	C	G	L	C	A	L	L	C	A	A	B	B	A	
14	G	B	A	L	A	A	G	L	A	A	B	B	A	C	
15	G	C	G	L	A	B	B	L	A	B	B	A	C	B	
16	G	B	A	L	L	B	G	L	L	B	A	C	B	L	
17	G	C	G	G	L	B	B	C	L	G	C	B	L	L	
18	G	B	A	B	L	B	C	C	G	G	B	L	L	L	
19	G	C	G	G	L	L	C	B	A	G	C	L	L	L	
20	G	B	A	B	C	L	G	A	C	G	B	A	L	L	
21	G	C	G	L	C	G	G	C	B	G	C	G	G	L	
22	G	B	A	L	G	A	G	B	L	G	B	A	B	A	
23	G	C	G	C	G	C	G	C	L	G	C	G	B	C	
24	G	B	G	B	G	B	G	B	G	G	B	G	B	G	
25	G	G	G	G	G	G	G	G	G	G	G	G	G	G	
26	F	F	F	F	F	F	F	F	F	F	F	F	F	F	
