	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	A	C	L	L	L	L	L	L	L	L	L	L	L	L	L	
2	G	B	A	L	L	L	L	L	L	L	L	L	L	L	L	
3	G	C	G	G	L	L	L	L	L	L	L	L	L	L	L	
4	G	B	A	B	C	L	L	L	L	L	L	L	L	L	L	
5	G	C	G	L	C	A	L	L	L	L	L	L	L	L	L	
6	G	B	A	L	A	A	G	L	L	L	L	L	L	L	L	
7	G	C	G	L	A	B	B	C	L	L	L	L	L	L	L	
8	G	B	A	L	L	B	C	C	A	L	L	L	L	L	L	
9	G	C	G	G	L	L	C	A	A	G	L	L	L	L	L	
10	G	B	A	B	C	L	A	A	B	B	C	L	L	L	L	
11	G	C	G	L	C	L	A	B	B	C	C	A	L	L	L	
12	G	B	A	L	C	L	L	B	C	C	A	A	G	L	L	
13	G	C	G	L	C	A	L	L	C	A	A	B	B	C	L	
14	G	B	A	L	A	A	G	L	A	A	B	B	C	C	G	
15	G	C	G	L	A	B	B	L	A	B	B	C	C	B	A	
16	G	B	A	L	L	B	G	L	L	B	C	C	B	A	C	
17	G	C	G	G	L	B	B	C	L	L	C	B	A	C	B	
18	G	B	A	B	L	B	C	C	A	L	G	A	C	B	L	
19	G	C	G	G	L	L	C	A	A	C	G	C	B	L	L	
20	G	B	A	B	C	L	A	A	C	B	G	B	L	L	L	
21	G	C	G	L	C	L	A	C	B	L	G	C	L	L	L	
22	G	B	A	L	C	L	G	B	L	L	G	B	A	L	L	
23	G	C	G	L	C	G	G	C	L	L	G	C	G	G	L	
24	G	B	A	L	G	A	G	B	A	L	G	B	A	B	A	
25	G	C	G	C	G	C	G	C	G	C	G	C	G	B	C	
26	G	B	G	B	G	B	G	B	G	B	G	B	G	B	G	
27	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	
28	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	
