	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	A	C	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	
2	G	B	A	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	
3	G	C	G	G	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	
4	G	B	A	B	C	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	
5	G	C	G	L	C	A	L	L	L	L	L	L	L	L	L	L	L	L	L	L	
6	G	B	A	L	A	A	G	L	L	L	L	L	L	L	L	L	L	L	L	L	
7	G	C	G	L	A	B	B	C	L	L	L	L	L	L	L	L	L	L	L	L	
8	G	B	A	L	L	B	C	C	A	L	L	L	L	L	L	L	L	L	L	L	
9	G	C	G	G	L	L	C	A	A	G	L	L	L	L	L	L	L	L	L	L	
10	G	B	A	B	C	L	A	A	B	B	C	L	L	L	L	L	L	L	L	L	
11	G	C	G	L	C	L	A	B	B	C	C	A	L	L	L	L	L	L	L	L	
12	G	B	A	L	C	L	L	B	C	C	A	A	G	L	L	L	L	L	L	L	
13	G	C	G	L	C	A	L	L	C	A	A	B	B	C	L	L	L	L	L	L	
14	G	B	A	L	A	A	G	L	A	A	B	B	C	C	A	L	L	L	L	L	
15	G	C	G	L	A	B	B	L	A	B	B	C	C	A	A	G	L	L	L	L	
16	G	B	A	L	L	B	G	L	L	B	C	C	A	A	B	B	C	L	L	L	
17	G	C	G	G	L	B	B	C	L	L	C	A	A	B	B	C	C	A	L	L	
18	G	B	A	B	L	B	C	C	A	L	A	A	B	B	C	C	A	A	G	L	
19	G	C	G	G	L	L	C	A	A	L	A	B	B	C	C	A	A	B	B	A	
20	G	B	A	B	C	L	A	A	A	L	L	B	C	C	A	A	B	B	A	C	
21	G	C	G	L	C	L	A	A	A	G	L	L	C	A	A	B	B	A	C	B	
22	G	B	A	L	C	L	A	A	B	B	C	L	A	A	B	B	A	C	B	L	
23	G	C	G	L	C	L	A	B	B	C	C	L	A	B	B	A	C	B	L	L	
24	G	B	A	L	C	L	L	B	C	C	C	L	L	B	A	C	B	L	L	L	
25	G	C	G	L	C	A	L	L	C	C	C	A	L	G	C	B	L	L	L	L	
26	G	B	A	L	A	A	G	L	C	C	A	A	C	G	B	L	L	L	L	L	
27	G	C	G	L	A	B	B	L	C	A	A	C	B	G	C	L	L	L	L	L	
28	G	B	A	L	L	B	G	L	A	A	C	B	L	G	B	A	L	L	L	L	
29	G	C	G	G	L	B	B	L	A	C	B	L	L	G	C	G	G	L	L	L	
30	G	B	A	B	L	B	G	L	G	B	L	L	L	G	B	A	B	C	L	L	
31	G	C	G	G	L	B	B	A	G	C	L	L	L	G	C	G	L	C	A	L	
32	G	B	A	B	L	B	A	C	G	B	A	L	L	G	B	A	L	A	A	C	
33	G	C	G	G	L	G	C	B	G	C	G	G	L	G	C	G	L	A	C	B	
34	G	B	A	B	A	G	B	L	G	B	A	B	A	G	B	A	L	G	B	L	
35	G	C	G	B	C	G	C	L	G	C	G	B	C	G	C	G	C	G	C	L	
36	G	B	G	B	G	G	B	G	G	B	G	B	G	G	B	G	B	G	B	G	
37	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	
38	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	
