	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
1	A	C	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	
2	G	B	A	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	
3	G	C	G	G	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	
4	G	B	A	B	C	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	
5	G	C	G	L	C	A	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	
6	G	B	A	L	A	A	G	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	
7	G	C	G	L	A	B	B	C	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	
8	G	B	A	L	L	B	C	C	A	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	
9	G	C	G	G	L	L	C	A	A	G	L	L	L	L	L	L	L	L	L	L	L	L	L	L	
10	G	B	A	B	C	L	A	A	B	B	C	L	L	L	L	L	L	L	L	L	L	L	L	L	
11	G	C	G	L	C	L	A	B	B	C	C	A	L	L	L	L	L	L	L	L	L	L	L	L	
12	G	B	A	L	C	L	L	B	C	C	A	A	G	L	L	L	L	L	L	L	L	L	L	L	
13	G	C	G	L	C	A	L	L	C	A	A	B	B	C	L	L	L	L	L	L	L	L	L	L	
14	G	B	A	L	A	A	G	L	A	A	B	B	C	C	A	L	L	L	L	L	L	L	L	L	
15	G	C	G	L	A	B	B	L	A	B	B	C	C	A	A	G	L	L	L	L	L	L	L	L	
16	G	B	A	L	L	B	G	L	L	B	C	C	A	A	B	B	C	L	L	L	L	L	L	L	
17	G	C	G	G	L	B	B	C	L	L	C	A	A	B	B	C	C	A	L	L	L	L	L	L	
18	G	B	A	B	L	B	C	C	A	L	A	A	B	B	C	C	A	A	G	L	L	L	L	L	
19	G	C	G	G	L	L	C	A	A	L	A	B	B	C	C	A	A	B	B	C	L	L	L	L	
20	G	B	A	B	C	L	A	A	A	L	L	B	C	C	A	A	B	B	C	C	A	L	L	L	
21	G	C	G	L	C	L	A	A	A	G	L	L	C	A	A	B	B	C	C	A	A	G	L	L	
22	G	B	A	L	C	L	A	A	B	B	C	L	A	A	B	B	C	C	A	A	B	B	C	L	
23	G	C	G	L	C	L	A	B	B	C	C	L	A	B	B	C	C	A	A	B	B	C	C	G	
24	G	B	A	L	C	L	L	B	C	C	C	L	L	B	C	C	A	A	B	B	C	C	B	A	
25	G	C	G	L	C	A	L	L	C	C	C	A	L	L	C	A	A	B	B	C	C	B	A	C	
26	G	B	A	L	A	A	G	L	C	C	A	A	G	L	A	A	B	B	C	C	B	A	C	B	
27	G	C	G	L	A	B	B	L	C	A	A	B	B	L	A	B	B	C	C	B	A	C	B	L	
28	G	B	A	L	L	B	G	L	A	A	B	B	G	L	L	B	C	C	B	A	C	B	L	L	
29	G	C	G	G	L	B	B	L	A	B	B	B	B	C	L	L	C	B	A	C	B	L	L	L	
30	G	B	A	B	L	B	G	L	L	B	B	B	C	C	A	L	G	A	C	B	L	L	L	L	
31	G	C	G	G	L	B	B	C	L	B	B	C	C	A	A	C	G	C	B	L	L	L	L	L	
32	G	B	A	B	L	B	C	C	L	B	C	C	A	A	C	B	G	B	L	L	L	L	L	L	
33	G	C	G	G	L	L	C	C	L	L	C	A	A	C	B	L	G	C	L	L	L	L	L	L	
34	G	B	A	B	C	L	C	C	A	L	A	A	C	B	L	L	G	B	A	L	L	L	L	L	
35	G	C	G	L	C	L	C	A	A	L	A	C	B	L	L	L	G	C	G	G	L	L	L	L	
36	G	B	A	L	C	L	A	A	A	L	G	B	L	L	L	L	G	B	A	B	C	L	L	L	
37	G	C	G	L	C	L	A	A	A	C	G	C	L	L	L	L	G	C	G	L	C	A	L	L	
38	G	B	A	L	C	L	A	A	C	B	G	B	A	L	L	L	G	B	A	L	A	A	G	L	
39	G	C	G	L	C	L	A	C	B	L	G	C	G	G	L	L	G	C	G	L	A	B	B	A	
40	G	B	A	L	C	L	G	B	L	L	G	B	A	B	C	L	G	B	A	L	L	B	A	C	
41	G	C	G	L	C	G	G	C	L	L	G	C	G	L	C	G	G	C	G	G	L	G	C	B	
42	G	B	A	L	G	A	G	B	A	L	G	B	A	L	G	A	G	B	A	B	A	G	B	L	
43	G	C	G	C	G	C	G	C	G	C	G	C	G	C	G	C	G	C	G	B	C	G	C	L	
44	G	B	G	B	G	B	G	B	G	B	G	B	G	B	G	B	G	B	G	B	G	G	B	G	
45	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	
46	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	
